,FECHA,UTIL,IRRAD,ANNO,DIA,DIASEM,MES,TRAMO
0,2015-01-01 00:00:00,3.42746680498399e-06,0.0,2015,1,3,1,0
1,2015-01-01 03:00:00,6.09327431997154e-06,0.0,2015,1,3,1,3
2,2015-01-01 06:00:00,0.0677278865554187,0.0,2015,1,3,1,6
3,2015-01-01 09:00:00,0.611119997136161,760335.4,2015,1,3,1,9
4,2015-01-01 12:00:00,0.660955745310273,1565422.5,2015,1,3,1,12
5,2015-01-01 15:00:00,0.164120820489854,747611.06,2015,1,3,1,15
6,2015-01-01 18:00:00,5.94094246197226e-05,0.0,2015,1,3,1,18
7,2015-01-01 21:00:00,1.14248893499466e-06,0.0,2015,1,3,1,21
8,2015-01-02 00:00:00,2.28497786998933e-06,0.0,2015,2,4,1,0
9,2015-01-02 03:00:00,6.85493360996799e-06,0.0,2015,2,4,1,3
10,2015-01-02 06:00:00,0.0647231406563828,0.0,2015,2,4,1,6
11,2015-01-02 09:00:00,0.606449121540258,757607.56,2015,2,4,1,9
12,2015-01-02 12:00:00,0.669747578494702,1558490.0,2015,2,4,1,12
13,2015-01-02 15:00:00,0.171283845282625,749262.44,2015,2,4,1,15
14,2015-01-02 18:00:00,6.0171083909719e-05,0.0,2015,2,4,1,18
15,2015-01-02 21:00:00,4.95078538497688e-06,0.0,2015,2,4,1,21
16,2015-01-03 00:00:00,2.66580751498755e-06,0.0,2015,3,5,1,0
17,2015-01-03 03:00:00,3.42746680498399e-06,0.0,2015,3,5,1,3
18,2015-01-03 06:00:00,0.0645506248271985,0.0,2015,3,5,1,6
19,2015-01-03 09:00:00,0.603356403993227,763604.1,2015,3,5,1,9
20,2015-01-03 12:00:00,0.665159342931764,1573786.0,2015,3,5,1,12
21,2015-01-03 15:00:00,0.172591233453904,765404.6,2015,3,5,1,15
22,2015-01-03 18:00:00,6.43602100046994e-05,0.0,2015,3,5,1,18
23,2015-01-03 21:00:00,7.61659289996443e-07,0.0,2015,3,5,1,21
24,2015-01-04 00:00:00,2.66580751498755e-06,0.0,2015,4,6,1,0
25,2015-01-04 03:00:00,6.09327431997154e-06,0.0,2015,4,6,1,3
26,2015-01-04 06:00:00,0.0655792456983387,0.0,2015,4,6,1,6
27,2015-01-04 09:00:00,0.605925480778385,766311.94,2015,4,6,1,9
28,2015-01-04 12:00:00,0.668375449283774,1581504.5,2015,4,6,1,12
29,2015-01-04 15:00:00,0.177142528541278,776130.1,2015,4,6,1,15
30,2015-01-04 18:00:00,2.55155862148808e-05,0.0,2015,4,6,1,18
31,2015-01-04 21:00:00,1.52331857999289e-06,0.0,2015,4,6,1,21
32,2015-01-05 00:00:00,1.90414822499111e-06,0.0,2015,5,0,1,0
33,2015-01-05 03:00:00,3.80829644998222e-06,0.0,2015,5,0,1,3
34,2015-01-05 06:00:00,0.0513126055374154,0.0,2015,5,0,1,6
35,2015-01-05 09:00:00,0.498614160921851,712013.94,2015,5,0,1,9
36,2015-01-05 12:00:00,0.616564337741056,1521712.9,2015,5,0,1,12
37,2015-01-05 15:00:00,0.158346300582746,756035.6,2015,5,0,1,15
38,2015-01-05 18:00:00,1.48523561549306e-05,0.0,2015,5,0,1,18
39,2015-01-05 21:00:00,3.04663715998577e-06,0.0,2015,5,0,1,21
40,2015-01-06 00:00:00,1.90414822499111e-06,0.0,2015,6,1,1,0
41,2015-01-06 03:00:00,3.80829644998222e-06,0.0,2015,6,1,1,3
42,2015-01-06 06:00:00,0.030413817108848,0.0,2015,6,1,1,6
43,2015-01-06 09:00:00,0.294562209664999,513767.06,2015,6,1,1,9
44,2015-01-06 12:00:00,0.420121362791268,1176342.6,2015,6,1,1,12
45,2015-01-06 15:00:00,0.121186847972044,517161.16,2015,6,1,1,15
46,2015-01-06 18:00:00,2.51347565698826e-05,0.0,2015,6,1,1,18
47,2015-01-06 21:00:00,3.42746680498399e-06,0.0,2015,6,1,1,21
48,2015-01-07 00:00:00,1.52331857999289e-06,0.0,2015,7,2,1,0
49,2015-01-07 03:00:00,5.71244467497332e-06,0.0,2015,7,2,1,3
50,2015-01-07 06:00:00,0.0395761975378602,0.0,2015,7,2,1,6
51,2015-01-07 09:00:00,0.509490274753356,667391.94,2015,7,2,1,9
52,2015-01-07 12:00:00,0.646778600115924,1512765.0,2015,7,2,1,12
53,2015-01-07 15:00:00,0.169585345065933,765493.75,2015,7,2,1,15
54,2015-01-07 18:00:00,6.62643582296905e-05,0.0,2015,7,2,1,18
55,2015-01-07 21:00:00,4.56995573997866e-06,0.0,2015,7,2,1,21
56,2015-01-08 00:00:00,3.80829644998222e-06,0.0,2015,8,3,1,0
57,2015-01-08 03:00:00,4.95078538497688e-06,0.0,2015,8,3,1,3
58,2015-01-08 06:00:00,0.0549331529724135,0.0,2015,8,3,1,6
59,2015-01-08 09:00:00,0.565556776749284,761424.1,2015,8,3,1,9
60,2015-01-08 12:00:00,0.648772624137135,1598718.9,2015,8,3,1,12
61,2015-01-08 15:00:00,0.171416373999084,813456.1,2015,8,3,1,15
62,2015-01-08 18:00:00,6.47410396496977e-05,0.0,2015,8,3,1,18
63,2015-01-08 21:00:00,1.14248893499466e-06,0.0,2015,8,3,1,21
64,2015-01-09 00:00:00,3.42746680498399e-06,0.0,2015,9,4,1,0
65,2015-01-09 03:00:00,1.90414822499111e-06,0.0,2015,9,4,1,3
66,2015-01-09 06:00:00,0.0640090850720111,0.0,2015,9,4,1,6
67,2015-01-09 09:00:00,0.60495131854648,778402.2,2015,9,4,1,9
68,2015-01-09 12:00:00,0.674495381678895,1624901.5,2015,9,4,1,12
69,2015-01-09 15:00:00,0.187263838016395,837569.6,2015,9,4,1,15
70,2015-01-09 18:00:00,6.55026989396941e-05,0.0,2015,9,4,1,18
71,2015-01-09 21:00:00,1.52331857999289e-06,0.0,2015,9,4,1,21
72,2015-01-10 00:00:00,2.66580751498755e-06,0.0,2015,10,5,1,0
73,2015-01-10 03:00:00,5.3316150299751e-06,0.0,2015,10,5,1,3
74,2015-01-10 06:00:00,0.0663942211386349,0.0,2015,10,5,1,6
75,2015-01-10 09:00:00,0.60056873099184,785822.1,2015,10,5,1,9
76,2015-01-10 12:00:00,0.653531852210678,1622673.5,2015,10,5,1,12
77,2015-01-10 15:00:00,0.162177446811428,816759.0,2015,10,5,1,15
78,2015-01-10 18:00:00,5.86477653297261e-05,0.0,2015,10,5,1,18
79,2015-01-10 21:00:00,2.66580751498755e-06,0.0,2015,10,5,1,21
80,2015-01-11 00:00:00,4.56995573997866e-06,0.0,2015,11,6,1,0
81,2015-01-11 03:00:00,5.71244467497332e-06,0.0,2015,11,6,1,3
82,2015-01-11 06:00:00,0.05780917845144,0.0,2015,11,6,1,6
83,2015-01-11 09:00:00,0.576281320382079,773530.44,2015,11,6,1,9
84,2015-01-11 12:00:00,0.637498543326608,1564094.4,2015,11,6,1,12
85,2015-01-11 15:00:00,0.168240254759799,776315.94,2015,11,6,1,15
86,2015-01-11 18:00:00,6.39793803597012e-05,0.0,2015,11,6,1,18
87,2015-01-11 21:00:00,4.18912609498044e-06,0.0,2015,11,6,1,21
88,2015-01-12 00:00:00,5.71244467497332e-06,0.0,2015,12,0,1,0
89,2015-01-12 03:00:00,3.80829644998222e-06,0.0,2015,12,0,1,3
90,2015-01-12 06:00:00,0.0301620887135041,0.0,2015,12,0,1,6
91,2015-01-12 09:00:00,0.439540628049017,507894.66,2015,12,0,1,9
92,2015-01-12 12:00:00,0.492787467353379,1191550.2,2015,12,0,1,12
93,2015-01-12 15:00:00,0.0993298921566611,476907.56,2015,12,0,1,15
94,2015-01-12 18:00:00,4.83653649147741e-05,0.0,2015,12,0,1,18
95,2015-01-12 21:00:00,3.80829644998222e-06,0.0,2015,12,0,1,21
96,2015-01-13 00:00:00,7.61659289996443e-07,0.0,2015,13,1,1,0
97,2015-01-13 03:00:00,3.80829644998222e-06,0.0,2015,13,1,1,3
98,2015-01-13 06:00:00,0.0448487839728606,0.0,2015,13,1,1,6
99,2015-01-13 09:00:00,0.514676412858941,757352.25,2015,13,1,1,9
100,2015-01-13 12:00:00,0.590136283696759,1583337.5,2015,13,1,1,12
101,2015-01-13 15:00:00,0.147560443377106,761082.56,2015,13,1,1,15
102,2015-01-13 18:00:00,5.6743617104735e-05,0.0,2015,13,1,1,18
103,2015-01-13 21:00:00,4.56995573997866e-06,0.0,2015,13,1,1,21
104,2015-01-14 00:00:00,4.56995573997866e-06,0.0,2015,14,2,1,0
105,2015-01-14 03:00:00,4.56995573997866e-06,0.0,2015,14,2,1,3
106,2015-01-14 06:00:00,0.0259619185588188,0.0,2015,14,2,1,6
107,2015-01-14 09:00:00,0.410463903823758,521563.12,2015,14,2,1,9
108,2015-01-14 12:00:00,0.506284069972116,1227966.0,2015,14,2,1,12
109,2015-01-14 15:00:00,0.106734362944362,542832.4,2015,14,2,1,15
110,2015-01-14 18:00:00,4.76037056247777e-05,0.0,2015,14,2,1,18
111,2015-01-14 21:00:00,4.18912609498044e-06,0.0,2015,14,2,1,21
112,2015-01-15 00:00:00,1.90414822499111e-06,0.0,2015,15,3,1,0
113,2015-01-15 03:00:00,3.42746680498399e-06,0.0,2015,15,3,1,3
114,2015-01-15 06:00:00,0.0491875761183253,0.0,2015,15,3,1,6
115,2015-01-15 09:00:00,0.506685845247589,736425.6,2015,15,3,1,9
116,2015-01-15 12:00:00,0.462724394347574,1473286.8,2015,15,3,1,12
117,2015-01-15 15:00:00,0.0872149394899777,554216.5,2015,15,3,1,15
118,2015-01-15 18:00:00,1.0282400414952e-05,0.0,2015,15,3,1,18
119,2015-01-15 21:00:00,3.04663715998577e-06,0.0,2015,15,3,1,21
120,2015-01-16 00:00:00,4.18912609498044e-06,0.0,2015,16,4,1,0
121,2015-01-16 03:00:00,3.04663715998577e-06,0.0,2015,16,4,1,3
122,2015-01-16 06:00:00,0.0253072723990668,0.0,2015,16,4,1,6
123,2015-01-16 09:00:00,0.508275809015456,729876.7,2015,16,4,1,9
124,2015-01-16 12:00:00,0.543774844373966,1573945.9,2015,16,4,1,12
125,2015-01-16 15:00:00,0.122981317259276,791121.7,2015,16,4,1,15
126,2015-01-16 18:00:00,3.12280308898542e-05,0.0,2015,16,4,1,18
127,2015-01-16 21:00:00,5.71244467497332e-06,0.0,2015,16,4,1,21
128,2015-01-17 00:00:00,7.61659289996443e-07,0.0,2015,17,5,1,0
129,2015-01-17 03:00:00,3.04663715998577e-06,0.0,2015,17,5,1,3
130,2015-01-17 06:00:00,0.0533462358417059,0.0,2015,17,5,1,6
131,2015-01-17 09:00:00,0.529670056812166,728686.44,2015,17,5,1,9
132,2015-01-17 12:00:00,0.647003289606473,1583439.6,2015,17,5,1,12
133,2015-01-17 15:00:00,0.183399940438244,783414.06,2015,17,5,1,15
134,2015-01-17 18:00:00,6.3598550714703e-05,0.0,2015,17,5,1,18
135,2015-01-17 21:00:00,2.66580751498755e-06,0.0,2015,17,5,1,21
136,2015-01-18 00:00:00,3.42746680498399e-06,0.0,2015,18,6,1,0
137,2015-01-18 03:00:00,4.95078538497688e-06,0.0,2015,18,6,1,3
138,2015-01-18 06:00:00,0.0069276720721626,0.0,2015,18,6,1,6
139,2015-01-18 09:00:00,0.0816487333986837,133829.69,2015,18,6,1,9
140,2015-01-18 12:00:00,0.110686232170508,308179.47,2015,18,6,1,12
141,2015-01-18 15:00:00,0.0240200681989728,100561.32,2015,18,6,1,15
142,2015-01-18 18:00:00,6.09327431997154e-06,0.0,2015,18,6,1,18
143,2015-01-18 21:00:00,5.71244467497332e-06,0.0,2015,18,6,1,21
144,2015-01-19 00:00:00,4.56995573997866e-06,0.0,2015,19,0,1,0
145,2015-01-19 03:00:00,7.61659289996443e-06,0.0,2015,19,0,1,3
146,2015-01-19 06:00:00,0.0189318033121516,0.0,2015,19,0,1,6
147,2015-01-19 09:00:00,0.297431380210416,501083.38,2015,19,0,1,9
148,2015-01-19 12:00:00,0.39297392154757,1204116.9,2015,19,0,1,12
149,2015-01-19 15:00:00,0.149226192244328,728592.94,2015,19,0,1,15
150,2015-01-19 18:00:00,8.30208626096123e-05,0.0,2015,19,0,1,18
151,2015-01-19 21:00:00,4.95078538497688e-06,0.0,2015,19,0,1,21
152,2015-01-20 00:00:00,3.80829644998222e-06,0.0,2015,20,1,1,0
153,2015-01-20 03:00:00,5.3316150299751e-06,0.0,2015,20,1,1,3
154,2015-01-20 06:00:00,0.0543649551420761,0.0,2015,20,1,1,6
